APPLE,GOOGLE,MICROSOFT,IBM,AMAZON,BAIDU,ALIBABA,HUAWEI,SINA,JDCOM
142.27,843.19,66.4,160.38,898.53,178.08,113.11,65.28,72.11,34.35
143.64,862.76,67.53,160.75,907.41,180.03,114.86,65.98,73.25,34.57
144.53,872.3,67.92,160.39,907.62,186.99,115.48,66.43,73.89,34.96
143.68,871.73,67.83,160.06,909.29,186.67,114.97,66.44,75.11,34.94
143.79,874.25,68.27,160.32,918.38,187.86,115.43,66.4697,76.86,35.3
143.65,905.96,68.46,160.29,924.99,180.23,115.5,66.16,76.81,35.07
146.58,912.57,69.41,158.84,948.23,180.06,116.68,66.15,77.19,35.34
147.51,916.44,69.3,159.1,946.94,178.64,118.09,66.16,78.28,35.45
147.06,927.04,69.08,158.63,941.03,177.4,116.57,66.2,77.04,35.15
146.53,931.66,68.81,159.05,937.53,176.71,115.86,66.16,76.89,35.4
148.96,927.13,69,155.05,934.15,178.03,116.04,66.35,77.77,35.78
153.01,934.3,68.94,153.03,949.04,177.47,116.86,66.279,79.87,38.55
153.99,932.17,69.04,152.11,952.82,182.98,120,66.28,81.08,38.53
153.26,928.78,69.31,151.25,948.95,183.57,119.98,66.39,83.41,39.32
153.95,930.6,68.46,150.65,947.62,186.6,120.16,66.17,83.6,39.76
156.1,932.22,68.38,150.37,961.35,186.83,120.34,65.94,83.5,40.56
155.7,937.08,68.43,151.51,957.97,186.14,121.4,66.31,84.04,40.23
155.47,943,69.41,153.68,966.07,190.64,124.02,66.08,99.04,40.77
150.25,919.62,67.48,150.93,944.76,186.05,120.72,65.01,97.23,40.04
152.54,930.24,67.71,150.78,958.49,182.43,121.27,65.18,101.51,40.16
153.06,934.01,67.69,151.98,959.84,188.76,123.22,65.49,102.11,41.06
153.99,941.86,68.45,152.64,970.67,191.69,124.75,65.77,105.14,41.66
153.8,948.82,68.68,152.03,971.54,191.8,122.93,65.84,100.19,40.72
153.34,954.96,68.77,152.51,980.35,190.63,122.81,65.92,100.28,40.44
153.87,969.54,69.62,153.2,993.38,191.95,123.63,66.48,101,41.02
153.61,971.47,69.96,152.49,995.78,190.39,123.99,66.4251,104.25,40.99
153.67,975.88,70.41,151.73,996.7,189.88,123.91,66.4,101.34,40.79
152.76,964.86,69.84,152.63,994.62,186.1,122.46,66.38,97.97,40.03
153.18,966.95,70.1,152.67,995.95,187.26,123.97,67.11,97.61,40.29
155.45,975.6,71.76,152.05,1006.73,187.6,124.13,67.44,96.5,40.23
153.93,983.68,72.28,152.41,1011.34,187.31,125.37,67.483,92.14,40.32
